 enable_debug_mode 
-------------------
                 0
(1 row)

Timing is on.
     nation     | o_year |   sum_profit    
----------------+--------+-----------------
 ALGERIA        | 1998   | -1469105.000000
 ALGERIA        | 1997   | -1920349.000000
 ALGERIA        | 1996   | -2138151.000000
 ALGERIA        | 1995   | -1779275.000000
 ALGERIA        | 1994   | -2055161.000000
 ALGERIA        | 1993   | -2221201.000000
 ALGERIA        | 1992   | -1335587.000000
 ARGENTINA      | 1998   | -978804.000000
 ARGENTINA      | 1997   | -1430222.000000
 ARGENTINA      | 1996   | -1771270.000000
 ARGENTINA      | 1995   | -1798314.000000
 ARGENTINA      | 1994   | -1399343.000000
 ARGENTINA      | 1993   | -1739722.000000
 ARGENTINA      | 1992   | -1801667.000000
 BRAZIL         | 1998   | -842814.000000
 BRAZIL         | 1997   | -1751325.000000
 BRAZIL         | 1996   | -1390398.000000
 BRAZIL         | 1995   | -1275726.000000
 BRAZIL         | 1994   | -1843056.000000
 BRAZIL         | 1993   | -1954184.000000
 BRAZIL         | 1992   | -1707442.000000
 CANADA         | 1998   | -867999.000000
 CANADA         | 1997   | -1943263.000000
 CANADA         | 1996   | -1685863.000000
 CANADA         | 1995   | -1437359.000000
 CANADA         | 1994   | -1407505.000000
 CANADA         | 1993   | -1953011.000000
 CANADA         | 1992   | -1901039.000000
 CHINA          | 1998   | -1764358.000000
 CHINA          | 1997   | -2470709.000000
 CHINA          | 1996   | -2557958.000000
 CHINA          | 1995   | -2293123.000000
 CHINA          | 1994   | -2425505.000000
 CHINA          | 1993   | -2789684.000000
 CHINA          | 1992   | -2574175.000000
 EGYPT          | 1998   | -1275077.000000
 EGYPT          | 1997   | -1714982.000000
 EGYPT          | 1996   | -1514836.000000
 EGYPT          | 1995   | -1635073.000000
 EGYPT          | 1994   | -1723817.000000
 EGYPT          | 1993   | -1696723.000000
 EGYPT          | 1992   | -1805097.000000
 ETHIOPIA       | 1998   | -1530462.000000
 ETHIOPIA       | 1997   | -1415673.000000
 ETHIOPIA       | 1996   | -1698349.000000
 ETHIOPIA       | 1995   | -1555683.000000
 ETHIOPIA       | 1994   | -1340615.000000
 ETHIOPIA       | 1993   | -1390361.000000
 ETHIOPIA       | 1992   | -1539943.000000
 FRANCE         | 1998   | -1347582.000000
 FRANCE         | 1997   | -1829524.000000
 FRANCE         | 1996   | -1924402.000000
 FRANCE         | 1995   | -1770060.000000
 FRANCE         | 1994   | -1623118.000000
 FRANCE         | 1993   | -1714753.000000
 FRANCE         | 1992   | -1646967.000000
 GERMANY        | 1998   | -1495497.000000
 GERMANY        | 1997   | -2080875.000000
 GERMANY        | 1996   | -2881777.000000
 GERMANY        | 1995   | -2000786.000000
 GERMANY        | 1994   | -2596410.000000
 GERMANY        | 1993   | -1959082.000000
 GERMANY        | 1992   | -2116007.000000
 INDIA          | 1998   | -1897012.000000
 INDIA          | 1997   | -2597700.000000
 INDIA          | 1996   | -2050983.000000
 INDIA          | 1995   | -2478833.000000
 INDIA          | 1994   | -2280584.000000
 INDIA          | 1993   | -2233237.000000
 INDIA          | 1992   | -2449218.000000
 INDONESIA      | 1998   | -1714769.000000
 INDONESIA      | 1997   | -2738309.000000
 INDONESIA      | 1996   | -1960263.000000
