 enable_debug_mode 
-------------------
                 0
(1 row)

Timing is on.
 ps_partkey |     value     
------------+---------------
        369 | 112105.000000
        951 | 109463.000000
       1671 | 105941.000000
       1851 | 101442.000000
       1134 | 96136.000000
       1216 | 91461.000000
        550 | 86068.000000
       1304 | 84642.000000
       1852 | 84330.000000
       1853 | 81950.000000
       1522 | 81815.000000
        993 | 78492.000000
        820 | 74466.000000
       1837 | 73400.000000
       1366 | 71450.000000
       1402 | 69871.000000
       1809 | 64219.000000
       1601 | 63375.000000
       1769 | 63351.000000
        649 | 61152.000000
        691 | 60118.000000
         70 | 57505.000000
       1025 | 56818.000000
       1910 | 56505.000000
       1954 | 55836.000000
       1595 | 55406.000000
         42 | 55194.000000
        395 | 54796.000000
        542 | 53863.000000
       1540 | 51773.000000
       1253 | 50612.000000
          3 | 49695.000000
        961 | 49116.000000
       1377 | 48645.000000
         78 | 48618.000000
       1117 | 48504.000000
       1965 | 47913.000000
        153 | 46967.000000
        116 | 45938.000000
       1268 | 45368.000000
        396 | 44427.000000
       1144 | 43936.000000
        324 | 43775.000000
       1657 | 43771.000000
        437 | 43601.000000
         30 | 43233.000000
       1315 | 41834.000000
       1172 | 41048.000000
       1867 | 40088.000000
        451 | 38539.000000
        980 | 37848.000000
        862 | 37323.000000
       1953 | 37290.000000
         17 | 36978.000000
       1145 | 36170.000000
        927 | 35536.000000
       1010 | 35535.000000
       1425 | 34715.000000
       1753 | 34647.000000
        339 | 32811.000000
       1083 | 31893.000000
        215 | 31711.000000
       1639 | 31534.000000
        299 | 31411.000000
       1796 | 31372.000000
       1642 | 30925.000000
       1181 | 29988.000000
        535 | 29601.000000
        242 | 28971.000000
        746 | 28942.000000
       1453 | 27609.000000
       1515 | 27238.000000
        985 | 26386.000000
        295 | 26024.000000
       1533 | 25692.000000
       1619 | 25601.000000
       1680 | 25476.000000
       1580 | 24407.000000
       1963 | 24220.000000
        580 | 24177.000000
       1060 | 24151.000000
        946 | 23397.000000
       1159 | 21982.000000
       1612 | 21737.000000
       1328 | 21342.000000
        753 | 20940.000000
       1395 | 20601.000000
       1380 | 20499.000000
       1414 | 19945.000000
        268 | 19916.000000
       1921 | 19793.000000
         45 | 19709.000000
        280 | 19615.000000
        565 | 19557.000000
       1711 | 19228.000000
         95 | 19207.000000
       1502 | 18910.000000
       1995 | 18868.000000
        582 | 18687.000000
        854 | 17592.000000
        912 | 17327.000000
       1095 | 17055.000000
        386 | 16651.000000
        880 | 16369.000000
       1894 | 16241.000000
        881 | 15873.000000
        843 | 15318.000000
       1381 | 15185.000000
       1842 | 14147.000000
        978 | 13413.000000
       1045 | 12938.000000
       1742 | 12908.000000
        809 | 12670.000000
        495 | 12600.000000
       1037 | 12538.000000
       1417 | 12462.000000
       1279 | 12277.000000
        505 | 11893.000000
         92 | 11637.000000
        695 | 11535.000000
       1442 | 11402.000000
        710 | 10571.000000
       1231 | 10128.000000
       1992 | 9783.000000
       1575 | 9683.000000
        664 | 9621.000000
        455 | 8796.000000
         53 | 8289.000000
       1810 | 8162.000000
        942 | 8038.000000
        953 | 7617.000000
       1221 | 7373.000000
          5 | 6993.000000
        102 | 6930.000000
        453 | 6655.000000
       1951 | 5937.000000
       1560 | 5756.000000
       1170 | 5750.000000
       1142 | 5683.000000
        380 | 5445.000000
       1053 | 5114.000000
        853 | 4524.000000
        325 | 4092.000000
       1187 | 3796.000000
        611 | 3654.000000
        593 | 3568.000000
       1795 | 2853.000000
         55 | 2835.000000
        142 | 2692.000000
        358 | 2645.000000
       1153 | 1736.000000
        272 | 1606.000000
        940 | 1291.000000
       1075 | 1242.000000
        799 | 1202.000000
       1555 | 1188.000000
       1513 | 1093.000000
       1562 | 909.000000
        778 | 477.000000
        493 | 474.000000
        353 | 250.000000
        829 | 92.000000
        195 | 20.000000
(163 rows)

Time: 4.207 ms
