 enable_debug_mode 
-------------------
                 0
(1 row)

Timing is on.
 ps_partkey |     value     
------------+---------------
      10315 | 151091.000000
      12680 | 147984.000000
        746 | 125366.000000
       9575 | 119613.000000
       2836 | 119500.000000
       1348 | 118140.000000
       6203 | 117803.000000
      10419 | 115811.000000
      15042 | 113714.000000
       6906 | 113127.000000
       3023 | 112477.000000
      17417 | 111551.000000
       1670 | 111229.000000
      15815 | 111119.000000
      16038 | 110921.000000
       5919 | 108391.000000
       8834 | 107997.000000
       4240 | 107290.000000
      18804 | 106719.000000
      13549 | 106218.000000
       6883 | 105841.000000
      18546 | 104358.000000
       2350 | 104314.000000
       1794 | 104309.000000
        970 | 104275.000000
       9095 | 103434.000000
      14938 | 102866.000000
      15381 | 102771.000000
      18519 | 102595.000000
      10954 | 101921.000000
      14136 | 101858.000000
      11053 | 101700.000000
      19053 | 101373.000000
       9647 | 101373.000000
      18795 | 101179.000000
      16876 | 100831.000000
       8825 | 100678.000000
       3844 | 100141.000000
      10287 | 99709.000000
      17423 | 99658.000000
      12325 | 99126.000000
      16787 | 98609.000000
       2071 | 98555.000000
      15949 | 98321.000000
      14816 | 98298.000000
      12910 | 97989.000000
      18172 | 97589.000000
      14042 | 97492.000000
       3708 | 96349.000000
      15971 | 95461.000000
       3083 | 95440.000000
      16439 | 95326.000000
       8142 | 95031.000000
       4293 | 94674.000000
       3549 | 94417.000000
       4216 | 93790.000000
       3352 | 93547.000000
      15936 | 93122.000000
      15229 | 93098.000000
      17150 | 92404.000000
      16680 | 92221.000000
       4717 | 92216.000000
      14552 | 92191.000000
      14836 | 91777.000000
       5917 | 91442.000000
       3214 | 91288.000000
      16172 | 91239.000000
       7919 | 90994.000000
      18615 | 90975.000000
      15835 | 90898.000000
      15651 | 90857.000000
       1162 | 90846.000000
       1802 | 90744.000000
       4603 | 90529.000000
       5632 | 90229.000000
       5239 | 90098.000000
      13207 | 90055.000000
       5651 | 89963.000000
      18746 | 89911.000000
      18638 | 89887.000000
       4414 | 89679.000000
       4022 | 89497.000000
      17895 | 89473.000000
      11123 | 89088.000000
       6494 | 88889.000000
       3905 | 88805.000000
       8745 | 88714.000000
      15095 | 88609.000000
       2547 | 88102.000000
       9343 | 87984.000000
      14168 | 87741.000000
      17947 | 87715.000000
      11129 | 87681.000000
      10836 | 86899.000000
       8828 | 86538.000000
      18228 | 86445.000000
       2924 | 86090.000000
      11868 | 85790.000000
       7351 | 85006.000000
      10914 | 84895.000000
      12376 | 84827.000000
       8212 | 84775.000000
      16244 | 84665.000000
      10656 | 84263.000000
       2111 | 84097.000000
       6316 | 83880.000000
       4318 | 83803.000000
       6643 | 83413.000000
       5419 | 83368.000000
       2922 | 83055.000000
       2438 | 82700.000000
       3656 | 82432.000000
       3519 | 82030.000000
       4214 | 81645.000000
       7342 | 81486.000000
      16882 | 80977.000000
       6139 | 80662.000000
      10946 | 80602.000000
      11711 | 80589.000000
      15877 | 80482.000000
      11680 | 80164.000000
       5315 | 80079.000000
       3536 | 80068.000000
       9658 | 80030.000000
      18798 | 79759.000000
      11547 | 79728.000000
       3892 | 79603.000000
      13630 | 79476.000000
      13708 | 79134.000000
       1153 | 78934.000000
       5766 | 78766.000000
      12382 | 78665.000000
      11825 | 78608.000000
       5172 | 78499.000000
      18128 | 78227.000000
       6855 | 77874.000000
      18370 | 77493.000000
      19034 | 77469.000000
      14416 | 77049.000000
       9712 | 76785.000000
      15644 | 76653.000000
       2244 | 75527.000000
       2609 | 75378.000000
       8172 | 75171.000000
      12127 | 74630.000000
      10434 | 74376.000000
       1409 | 74345.000000
      15690 | 74202.000000
      17960 | 74139.000000
      17945 | 74011.000000
       9084 | 73759.000000
       4514 | 73435.000000
      17638 | 73220.000000
       5062 | 72873.000000
      15895 | 72729.000000
      11997 | 72721.000000
      13387 | 72558.000000
       8419 | 72501.000000
       5429 | 72471.000000
      19095 | 72346.000000
       3111 | 72249.000000
      11819 | 71948.000000
       5666 | 71883.000000
      16342 | 71827.000000
         72 | 71685.000000
      19599 | 71545.000000
       6696 | 71301.000000
      19227 | 71262.000000
       1324 | 71244.000000
      17985 | 70995.000000
       7778 | 70917.000000
      10160 | 70749.000000
      18291 | 70653.000000
      16519 | 70543.000000
       6042 | 70505.000000
      10411 | 70301.000000
      13306 | 70157.000000
       3583 | 70099.000000
      14808 | 69969.000000
      16668 | 69567.000000
      16845 | 69402.000000
      11602 | 69378.000000
       8890 | 69377.000000
       6572 | 69270.000000
      14080 | 69159.000000
       8651 | 69122.000000
      13599 | 68835.000000
      19742 | 68803.000000
       9129 | 68443.000000
       2295 | 68432.000000
       8455 | 68396.000000
       3093 | 67810.000000
       5551 | 67614.000000
      17375 | 66786.000000
      14172 | 66724.000000
       8162 | 66552.000000
       8775 | 66456.000000
      14878 | 66452.000000
       2608 | 65709.000000
      18283 | 65692.000000
      19142 | 65630.000000
       3400 | 65466.000000
      16017 | 65408.000000
       9365 | 65376.000000
      15836 | 65370.000000
      11341 | 65354.000000
       1342 | 65286.000000
        602 | 65260.000000
       6053 | 65242.000000
       6954 | 65053.000000
      12912 | 64906.000000
       4828 | 64873.000000
       5680 | 64858.000000
      14072 | 64834.000000
       5971 | 64786.000000
      13336 | 64709.000000
       6352 | 64567.000000
       7290 | 64413.000000
      11553 | 64349.000000
      18336 | 64331.000000
      18662 | 64042.000000
       4705 | 63927.000000
       8289 | 63897.000000
      10144 | 63818.000000
       3988 | 63674.000000
      17877 | 63657.000000
       1959 | 63594.000000
      14095 | 63377.000000
      18412 | 63319.000000
       5599 | 63267.000000
      16398 | 63075.000000
      10234 | 62942.000000
       6797 | 62894.000000
       3276 | 62869.000000
       3653 | 62812.000000
       5543 | 62762.000000
      14044 | 62658.000000
      12222 | 62649.000000
      10056 | 62485.000000
      14755 | 62242.000000
       8526 | 62143.000000
      15285 | 62131.000000
       6839 | 62056.000000
      19176 | 62020.000000
       7696 | 61876.000000
      16174 | 61827.000000
      12833 | 61774.000000
      13940 | 61731.000000
       3599 | 61447.000000
      17335 | 61422.000000
      16959 | 61399.000000
       9577 | 61201.000000
         19 | 61023.000000
       1863 | 61013.000000
       2599 | 60990.000000
      12157 | 60982.000000
      12518 | 60918.000000
       3696 | 60695.000000
       2520 | 60671.000000
       7019 | 60585.000000
       4664 | 60457.000000
       3080 | 60440.000000
       1097 | 60052.000000
      16080 | 59753.000000
       4746 | 59732.000000
        301 | 59661.000000
       7403 | 59639.000000
      18334 | 59487.000000
      17419 | 59448.000000
       7271 | 59446.000000
       9207 | 59439.000000
      19029 | 59298.000000
        406 | 59117.000000
      15164 | 58885.000000
      17748 | 58538.000000
      10572 | 58527.000000
       7457 | 58464.000000
      10646 | 58373.000000
        216 | 58295.000000
      13162 | 58178.000000
      10910 | 57990.000000
       4696 | 57884.000000
      18684 | 57782.000000
        599 | 57530.000000
      11684 | 57476.000000
       5986 | 57334.000000
       7209 | 57315.000000
      18876 | 57208.000000
      16886 | 57047.000000
      19558 | 56742.000000
       3190 | 56698.000000
        716 | 56452.000000
       9874 | 56366.000000
      17936 | 56304.000000
        526 | 56012.000000
      14573 | 55874.000000
      12365 | 55866.000000
      17692 | 55808.000000
       4787 | 55543.000000
      15300 | 55499.000000
      15671 | 55471.000000
      15581 | 55429.000000
      12053 | 55398.000000
      14350 | 55270.000000
         42 | 55194.000000
       2790 | 55009.000000
      14783 | 54999.000000
      19712 | 54892.000000
       7913 | 54743.000000
       5843 | 54657.000000
      10782 | 54606.000000
      14494 | 54544.000000
      16987 | 54538.000000
        162 | 54459.000000
      16672 | 54412.000000
      17098 | 54345.000000
       4042 | 54209.000000
      14968 | 54159.000000
      17437 | 54018.000000
      19174 | 53934.000000
      15494 | 53883.000000
       7053 | 53871.000000
      13750 | 53800.000000
       2575 | 53774.000000
      11575 | 53660.000000
       3551 | 53625.000000
      14678 | 53405.000000
      13494 | 53359.000000
      11608 | 52965.000000
       3660 | 52810.000000
      15150 | 52684.000000
      13968 | 52535.000000
      19225 | 52375.000000
      11423 | 52375.000000
       3465 | 52162.000000
      15166 | 52111.000000
       8432 | 52089.000000
      19687 | 52043.000000
         75 | 52030.000000
      11411 | 51833.000000
      16934 | 51818.000000
