 enable_debug_mode 
-------------------
                 0
(1 row)

Timing is on.
 l_orderkey |    revenue    |     o_orderdate     | o_shippriority 
------------+---------------+---------------------+----------------
     497637 | 290936.000000 | 1995-03-08 00:00:00 | 0
     593062 | 251049.000000 | 1995-03-08 00:00:00 | 0
     478724 | 234913.000000 | 1995-02-22 00:00:00 | 0
     406368 | 233069.000000 | 1995-02-12 00:00:00 | 0
     577476 | 222870.000000 | 1995-01-21 00:00:00 | 0
     399138 | 222870.000000 | 1995-01-22 00:00:00 | 0
     310305 | 215579.000000 | 1995-03-09 00:00:00 | 0
     358567 | 215579.000000 | 1995-03-13 00:00:00 | 0
     452231 | 211487.000000 | 1995-02-12 00:00:00 | 0
     355779 | 208733.000000 | 1995-02-15 00:00:00 | 0
     400263 | 181473.000000 | 1995-03-03 00:00:00 | 0
     171008 | 160556.000000 | 1995-01-08 00:00:00 | 0
     215207 | 160555.000000 | 1995-02-27 00:00:00 | 0
     454819 | 159089.000000 | 1995-01-25 00:00:00 | 0
     304484 | 159088.000000 | 1995-02-03 00:00:00 | 0
     165286 | 159088.000000 | 1995-03-08 00:00:00 | 0
     254726 | 159088.000000 | 1995-03-10 00:00:00 | 0
     303108 | 147706.000000 | 1995-01-26 00:00:00 | 0
     208513 | 147706.000000 | 1995-02-16 00:00:00 | 0
     341286 | 147706.000000 | 1995-03-02 00:00:00 | 0
     267589 | 147706.000000 | 1995-03-03 00:00:00 | 0
     399078 | 147706.000000 | 1995-03-12 00:00:00 | 0
     457859 | 145788.000000 | 1995-02-17 00:00:00 | 0
     526694 | 134576.000000 | 1995-01-01 00:00:00 | 0
     318789 | 134426.000000 | 1995-02-16 00:00:00 | 0
     274209 | 134424.000000 | 1994-12-14 00:00:00 | 0
     186215 | 134424.000000 | 1995-03-13 00:00:00 | 0
     263200 | 133573.000000 | 1995-02-01 00:00:00 | 0
     398784 | 133573.000000 | 1995-03-12 00:00:00 | 0
     546981 | 126906.000000 | 1995-01-13 00:00:00 | 0
     435586 | 126906.000000 | 1995-02-03 00:00:00 | 0
     517253 | 126906.000000 | 1995-02-22 00:00:00 | 0
     203522 | 121922.000000 | 1995-02-02 00:00:00 | 0
     394820 | 121765.000000 | 1995-03-03 00:00:00 | 0
     495170 | 121765.000000 | 1995-03-03 00:00:00 | 0
     257600 | 121764.000000 | 1995-03-06 00:00:00 | 0
     356292 | 121457.000000 | 1995-02-01 00:00:00 | 0
     135046 | 120486.000000 | 1995-03-09 00:00:00 | 0
     121154 | 120199.000000 | 1995-03-08 00:00:00 | 0
     171943 | 107176.000000 | 1995-01-31 00:00:00 | 0
     172388 | 103878.000000 | 1995-02-26 00:00:00 | 0
     229472 | 103878.000000 | 1995-03-05 00:00:00 | 0
     427456 | 101391.000000 | 1995-03-06 00:00:00 | 0
     320358 | 98643.000000  | 1995-02-08 00:00:00 | 0
     460256 | 93648.000000  | 1994-12-23 00:00:00 | 0
     374720 | 93648.000000  | 1994-12-29 00:00:00 | 0
     545252 | 93648.000000  | 1995-01-12 00:00:00 | 0
     526114 | 93648.000000  | 1995-01-27 00:00:00 | 0
     291332 | 93648.000000  | 1995-02-09 00:00:00 | 0
     425600 | 93648.000000  | 1995-02-12 00:00:00 | 0
     372422 | 93648.000000  | 1995-02-13 00:00:00 | 0
     339620 | 87636.000000  | 1995-01-24 00:00:00 | 0
     574021 | 86968.000000  | 1995-01-02 00:00:00 | 0
     394757 | 86968.000000  | 1995-01-24 00:00:00 | 0
     102240 | 86640.000000  | 1995-01-17 00:00:00 | 0
      81569 | 86442.000000  | 1995-03-11 00:00:00 | 0
     568067 | 85858.000000  | 1994-12-24 00:00:00 | 0
     457543 | 85858.000000  | 1995-03-04 00:00:00 | 0
     496578 | 82007.000000  | 1995-03-08 00:00:00 | 0
     574144 | 82006.000000  | 1995-01-04 00:00:00 | 0
     172288 | 82006.000000  | 1995-01-10 00:00:00 | 0
     263141 | 82006.000000  | 1995-02-26 00:00:00 | 0
     261094 | 82006.000000  | 1995-03-02 00:00:00 | 0
     397830 | 82006.000000  | 1995-03-02 00:00:00 | 0
     307751 | 82006.000000  | 1995-03-11 00:00:00 | 0
     500263 | 80792.000000  | 1995-02-22 00:00:00 | 0
     161765 | 76517.000000  | 1994-12-08 00:00:00 | 0
     101668 | 76517.000000  | 1995-01-27 00:00:00 | 0
     197510 | 76517.000000  | 1995-03-11 00:00:00 | 0
     136771 | 74574.000000  | 1995-01-18 00:00:00 | 0
     172837 | 74574.000000  | 1995-02-23 00:00:00 | 0
     146469 | 73915.000000  | 1994-12-27 00:00:00 | 0
      32901 | 73915.000000  | 1995-02-11 00:00:00 | 0
     101956 | 73915.000000  | 1995-02-17 00:00:00 | 0
      63717 | 73915.000000  | 1995-03-09 00:00:00 | 0
     366404 | 73477.000000  | 1994-11-26 00:00:00 | 0
     138307 | 73477.000000  | 1995-01-18 00:00:00 | 0
     270914 | 73477.000000  | 1995-01-22 00:00:00 | 0
     316481 | 73477.000000  | 1995-02-15 00:00:00 | 0
      84512 | 73477.000000  | 1995-02-16 00:00:00 | 0
     409315 | 73477.000000  | 1995-02-19 00:00:00 | 0
     177286 | 73477.000000  | 1995-02-20 00:00:00 | 0
      82534 | 73132.000000  | 1994-12-08 00:00:00 | 0
     135201 | 73132.000000  | 1995-01-10 00:00:00 | 0
     488164 | 72694.000000  | 1994-12-28 00:00:00 | 0
     569127 | 72694.000000  | 1995-02-15 00:00:00 | 0
     393634 | 72694.000000  | 1995-02-26 00:00:00 | 0
     241414 | 72646.000000  | 1995-01-20 00:00:00 | 0
     127717 | 72646.000000  | 1995-02-05 00:00:00 | 0
     125088 | 72646.000000  | 1995-02-16 00:00:00 | 0
      80549 | 72646.000000  | 1995-02-23 00:00:00 | 0
     164167 | 72646.000000  | 1995-03-10 00:00:00 | 0
      58592 | 65618.000000  | 1995-03-05 00:00:00 | 0
     162880 | 65308.000000  | 1995-02-10 00:00:00 | 0
      71297 | 65308.000000  | 1995-03-08 00:00:00 | 0
     333988 | 65120.000000  | 1995-01-18 00:00:00 | 0
     298374 | 65120.000000  | 1995-02-11 00:00:00 | 0
     204423 | 65120.000000  | 1995-03-04 00:00:00 | 0
     515782 | 65003.000000  | 1995-02-05 00:00:00 | 0
     374690 | 64687.000000  | 1995-01-27 00:00:00 | 0
     306310 | 63781.000000  | 1995-03-01 00:00:00 | 0
     499456 | 62661.000000  | 1995-01-28 00:00:00 | 0
     143490 | 62643.000000  | 1995-02-06 00:00:00 | 0
     320448 | 62458.000000  | 1995-01-01 00:00:00 | 0
     230822 | 62458.000000  | 1995-01-22 00:00:00 | 0
     479936 | 61763.000000  | 1995-01-19 00:00:00 | 0
     564290 | 61300.000000  | 1995-01-06 00:00:00 | 0
     526113 | 60451.000000  | 1995-02-08 00:00:00 | 0
      18370 | 59850.000000  | 1995-02-14 00:00:00 | 0
     109316 | 59319.000000  | 1995-01-16 00:00:00 | 0
      36033 | 59318.000000  | 1995-01-20 00:00:00 | 0
      65413 | 59318.000000  | 1995-03-12 00:00:00 | 0
     579425 | 59222.000000  | 1994-11-27 00:00:00 | 0
     502053 | 59222.000000  | 1994-12-14 00:00:00 | 0
     586786 | 59222.000000  | 1995-01-13 00:00:00 | 0
     402497 | 59222.000000  | 1995-03-12 00:00:00 | 0
     424994 | 59081.000000  | 1995-03-01 00:00:00 | 0
     304998 | 59080.000000  | 1994-12-27 00:00:00 | 0
     346439 | 59080.000000  | 1995-01-05 00:00:00 | 0
     212803 | 59080.000000  | 1995-01-27 00:00:00 | 0
     503781 | 59080.000000  | 1995-02-03 00:00:00 | 0
     302914 | 59080.000000  | 1995-02-09 00:00:00 | 0
     341154 | 59080.000000  | 1995-02-15 00:00:00 | 0
     175140 | 58999.000000  | 1995-02-09 00:00:00 | 0
     318692 | 58999.000000  | 1995-03-01 00:00:00 | 0
     229542 | 58999.000000  | 1995-03-05 00:00:00 | 0
     108932 | 58999.000000  | 1995-03-10 00:00:00 | 0
     108545 | 58474.000000  | 1995-03-01 00:00:00 | 0
     429222 | 58297.000000  | 1994-11-26 00:00:00 | 0
     529574 | 56565.000000  | 1995-01-26 00:00:00 | 0
     239014 | 55336.000000  | 1995-02-25 00:00:00 | 0
     397249 | 54891.000000  | 1994-11-28 00:00:00 | 0
     442437 | 54891.000000  | 1995-01-01 00:00:00 | 0
      74241 | 54891.000000  | 1995-01-10 00:00:00 | 0
     162979 | 54891.000000  | 1995-01-11 00:00:00 | 0
      49987 | 54891.000000  | 1995-02-20 00:00:00 | 0
      74531 | 54891.000000  | 1995-02-26 00:00:00 | 0
     552129 | 54891.000000  | 1995-03-01 00:00:00 | 0
     299491 | 54891.000000  | 1995-03-02 00:00:00 | 0
     130787 | 54891.000000  | 1995-03-03 00:00:00 | 0
     252903 | 54891.000000  | 1995-03-10 00:00:00 | 0
      22756 | 54890.000000  | 1995-01-25 00:00:00 | 0
     388992 | 54549.000000  | 1995-01-07 00:00:00 | 0
     480615 | 54549.000000  | 1995-01-24 00:00:00 | 0
     556611 | 54549.000000  | 1995-03-02 00:00:00 | 0
     390823 | 54392.000000  | 1994-12-04 00:00:00 | 0
     551330 | 54392.000000  | 1994-12-27 00:00:00 | 0
     297091 | 54392.000000  | 1995-02-22 00:00:00 | 0
     439396 | 54392.000000  | 1995-02-25 00:00:00 | 0
     160068 | 54392.000000  | 1995-03-05 00:00:00 | 0
     113220 | 54390.000000  | 1995-01-19 00:00:00 | 0
     294050 | 54389.000000  | 1994-12-27 00:00:00 | 0
      68384 | 54389.000000  | 1995-01-08 00:00:00 | 0
     153988 | 54389.000000  | 1995-01-16 00:00:00 | 0
     114213 | 53863.000000  | 1995-01-16 00:00:00 | 0
      70497 | 53861.000000  | 1995-02-04 00:00:00 | 0
     161127 | 53861.000000  | 1995-02-20 00:00:00 | 0
     118401 | 53861.000000  | 1995-02-20 00:00:00 | 0
      37927 | 53860.000000  | 1995-02-26 00:00:00 | 0
      27910 | 52457.000000  | 1994-12-09 00:00:00 | 0
     372706 | 51813.000000  | 1995-01-02 00:00:00 | 0
     102147 | 49918.000000  | 1994-12-13 00:00:00 | 0
      59652 | 49918.000000  | 1995-02-28 00:00:00 | 0
     592741 | 49794.000000  | 1995-03-08 00:00:00 | 0
     280068 | 49322.000000  | 1994-11-30 00:00:00 | 0
     412835 | 49322.000000  | 1995-02-13 00:00:00 | 0
     369699 | 49322.000000  | 1995-03-10 00:00:00 | 0
     513380 | 49322.000000  | 1995-03-14 00:00:00 | 0
     196069 | 49321.000000  | 1995-02-08 00:00:00 | 0
     277028 | 49321.000000  | 1995-03-04 00:00:00 | 0
     492965 | 48528.000000  | 1995-02-27 00:00:00 | 0
       6560 | 46576.000000  | 1995-02-05 00:00:00 | 0
     484646 | 46554.000000  | 1995-02-13 00:00:00 | 0
     563174 | 46554.000000  | 1995-03-09 00:00:00 | 0
      76869 | 46535.000000  | 1995-03-01 00:00:00 | 0
     504005 | 45969.000000  | 1995-01-15 00:00:00 | 0
     406406 | 45969.000000  | 1995-02-13 00:00:00 | 0
     592869 | 45969.000000  | 1995-02-18 00:00:00 | 0
     533285 | 45649.000000  | 1995-01-23 00:00:00 | 0
     374305 | 45617.000000  | 1995-02-25 00:00:00 | 0
     327617 | 45616.000000  | 1994-12-24 00:00:00 | 0
     240740 | 45616.000000  | 1995-01-07 00:00:00 | 0
     489703 | 45616.000000  | 1995-02-08 00:00:00 | 0
     416609 | 45616.000000  | 1995-03-04 00:00:00 | 0
     519364 | 45616.000000  | 1995-03-05 00:00:00 | 0
     108038 | 45404.000000  | 1995-01-08 00:00:00 | 0
     259073 | 45404.000000  | 1995-01-16 00:00:00 | 0
     167175 | 45404.000000  | 1995-01-24 00:00:00 | 0
     307685 | 45404.000000  | 1995-02-25 00:00:00 | 0
     159810 | 45165.000000  | 1995-02-09 00:00:00 | 0
     268102 | 44416.000000  | 1994-12-11 00:00:00 | 0
     405926 | 44416.000000  | 1995-02-14 00:00:00 | 0
     364389 | 44416.000000  | 1995-02-15 00:00:00 | 0
     347429 | 43729.000000  | 1995-01-04 00:00:00 | 0
      38852 | 42476.000000  | 1994-12-02 00:00:00 | 0
     533570 | 40399.000000  | 1995-03-05 00:00:00 | 0
     507520 | 39854.000000  | 1995-02-22 00:00:00 | 0
      83396 | 37287.000000  | 1995-03-13 00:00:00 | 0
     243204 | 36327.000000  | 1994-12-12 00:00:00 | 0
     126727 | 36327.000000  | 1994-12-25 00:00:00 | 0
     308355 | 35686.000000  | 1995-01-11 00:00:00 | 0
