 enable_debug_mode 
-------------------
                 0
(1 row)

Timing is on.
     nation     | o_year |    sum_profit    
----------------+--------+------------------
 ALGERIA        | 1998   | 657267.000000
 ALGERIA        | 1997   | 1014421.000000
 ALGERIA        | 1996   | -328174.000000
 ALGERIA        | 1995   | -1226907.000000
 ALGERIA        | 1994   | -2190935.000000
 ALGERIA        | 1993   | 605321.000000
 ALGERIA        | 1992   | -242611.000000
 ARGENTINA      | 1998   | -648127.000000
 ARGENTINA      | 1997   | -1440405.000000
 ARGENTINA      | 1996   | -647948.000000
 ARGENTINA      | 1995   | 608369.000000
 ARGENTINA      | 1994   | 27683.000000
 ARGENTINA      | 1993   | 467553.000000
 ARGENTINA      | 1992   | 42559.000000
 BRAZIL         | 1998   | 498134.000000
 BRAZIL         | 1997   | -356976.000000
 BRAZIL         | 1996   | 96213.000000
 BRAZIL         | 1995   | -354247.000000
 BRAZIL         | 1994   | 302543.000000
 BRAZIL         | 1993   | -509073.000000
 BRAZIL         | 1992   | -662789.000000
 CANADA         | 1998   | 221409.000000
 CANADA         | 1997   | -201411.000000
 CANADA         | 1996   | -655783.000000
 CANADA         | 1995   | -759029.000000
 CANADA         | 1994   | -875139.000000
 CANADA         | 1993   | -302254.000000
 CANADA         | 1992   | 153726.000000
 CHINA          | 1998   | -702568.000000
 CHINA          | 1997   | -490847.000000
 CHINA          | 1996   | 865428.000000
 CHINA          | 1995   | 959618.000000
 CHINA          | 1994   | 1602584.000000
 CHINA          | 1993   | -499936.000000
 CHINA          | 1992   | -284740.000000
 EGYPT          | 1998   | -464912.000000
 EGYPT          | 1997   | -816515.000000
 EGYPT          | 1996   | -279773.000000
 EGYPT          | 1995   | -1422196.000000
 EGYPT          | 1994   | -165790.000000
 EGYPT          | 1993   | -1524437.000000
 EGYPT          | 1992   | -1770152.000000
 ETHIOPIA       | 1998   | -2102364.000000
 ETHIOPIA       | 1997   | -677450.000000
 ETHIOPIA       | 1996   | -72761.000000
 ETHIOPIA       | 1995   | -1449597.000000
 ETHIOPIA       | 1994   | 50244.000000
 ETHIOPIA       | 1993   | -202460.000000
 ETHIOPIA       | 1992   | -632565.000000
 FRANCE         | 1998   | -19292.000000
 FRANCE         | 1997   | -261153.000000
 FRANCE         | 1996   | -510186.000000
 FRANCE         | 1995   | -345022.000000
 FRANCE         | 1994   | -153777.000000
 FRANCE         | 1993   | -662057.000000
 FRANCE         | 1992   | -373266.000000
 GERMANY        | 1998   | -2394562.000000
 GERMANY        | 1997   | 235287.000000
 GERMANY        | 1996   | -659063.000000
 GERMANY        | 1995   | -4344618.000000
 GERMANY        | 1994   | -3893641.000000
 GERMANY        | 1993   | 1111753.000000
 GERMANY        | 1992   | 5478438.000000
 INDIA          | 1998   | -5968877.000000
 INDIA          | 1997   | 520480.000000
 INDIA          | 1996   | 4785612.000000
 INDIA          | 1995   | 3706663.000000
 INDIA          | 1994   | 219363.000000
 INDIA          | 1993   | 4012168.000000
 INDIA          | 1992   | -1123043.000000
 INDONESIA      | 1998   | 4549936.000000
 INDONESIA      | 1997   | 12107270.000000
 INDONESIA      | 1996   | 3225356.000000
 INDONESIA      | 1995   | 13500326.000000
 INDONESIA      | 1994   | 3499342.000000
 INDONESIA      | 1993   | 7083145.000000
 INDONESIA      | 1992   | 5619497.000000
 IRAN           | 1998   | 826108.000000
 IRAN           | 1997   | -18295600.000000
 IRAN           | 1996   | -8413775.000000
 IRAN           | 1995   | -9044915.000000
 IRAN           | 1994   | -846317.000000
 IRAN           | 1993   | 3770209.000000
 IRAN           | 1992   | -3220260.000000
 IRAQ           | 1998   | 29886252.000000
 IRAQ           | 1997   | -9587261.000000
 IRAQ           | 1996   | 13326374.000000
 IRAQ           | 1995   | -8743615.000000
 IRAQ           | 1994   | 43092064.000000
 IRAQ           | 1993   | 18167012.000000
 IRAQ           | 1992   | 39994356.000000
 JAPAN          | 1998   | -3655121.000000
 JAPAN          | 1997   | 39252140.000000
 JAPAN          | 1996   | 183564.000000
 JAPAN          | 1995   | 41573496.000000
 JAPAN          | 1994   | -1286820.000000
 JAPAN          | 1993   | 62898508.000000
 JAPAN          | 1992   | 29685340.000000
 JORDAN         | 1998   | 1308835.000000
 JORDAN         | 1997   | -321771.000000
 JORDAN         | 1996   | 36108408.000000
 JORDAN         | 1995   | -748991.000000
 JORDAN         | 1994   | 1447250.000000
 JORDAN         | 1993   | 66382172.000000
 JORDAN         | 1992   | 2467332.000000
 KENYA          | 1998   | -553084.000000
 KENYA          | 1997   | -1171492.000000
 KENYA          | 1996   | 100301320.000000
 KENYA          | 1995   | 2085957.000000
 KENYA          | 1994   | -49502.000000
 KENYA          | 1993   | 38374000.000000
 KENYA          | 1992   | -210808.000000
 MOROCCO        | 1998   | 202843.000000
 MOROCCO        | 1997   | -1429212.000000
 MOROCCO        | 1996   | 2652804.000000
 MOROCCO        | 1995   | 1490677.000000
 MOROCCO        | 1994   | 526973.000000
 MOROCCO        | 1993   | 2963957.000000
 MOROCCO        | 1992   | -905094.000000
 MOZAMBIQUE     | 1998   | -2088641.000000
 MOZAMBIQUE     | 1997   | -1174707.000000
 MOZAMBIQUE     | 1996   | -1228885.000000
 MOZAMBIQUE     | 1995   | 385848.000000
 MOZAMBIQUE     | 1994   | 1684323.000000
 MOZAMBIQUE     | 1993   | -1484455.000000
 MOZAMBIQUE     | 1992   | 1020474.000000
 PERU           | 1998   | -1195284.000000
 PERU           | 1997   | -311743.000000
 PERU           | 1996   | 606960.000000
 PERU           | 1995   | -3325298.000000
 PERU           | 1994   | -3323504.000000
 PERU           | 1993   | -3062416.000000
 PERU           | 1992   | 949499.000000
 ROMANIA        | 1998   | -2885981.000000
 ROMANIA        | 1997   | -916375.000000
 ROMANIA        | 1996   | -2595733.000000
 ROMANIA        | 1995   | -4073407.000000
 ROMANIA        | 1994   | 870317.000000
 ROMANIA        | 1993   | -3336545.000000
 ROMANIA        | 1992   | -1316318.000000
 RUSSIA         | 1998   | -161237.000000
 RUSSIA         | 1997   | 766094.000000
 RUSSIA         | 1996   | -6063116.000000
 RUSSIA         | 1995   | -4238866.000000
 RUSSIA         | 1994   | 48423880.000000
 RUSSIA         | 1993   | 32046332.000000
 RUSSIA         | 1992   | -2101069.000000
 SAUDI ARABIA   | 1998   | 630012.000000
 SAUDI ARABIA   | 1997   | 459062.000000
 SAUDI ARABIA   | 1996   | -8720985.000000
 SAUDI ARABIA   | 1995   | 39947572.000000
 SAUDI ARABIA   | 1994   | 307690.000000
 SAUDI ARABIA   | 1993   | -8654207.000000
 SAUDI ARABIA   | 1992   | 40128060.000000
 UNITED KINGDOM | 1998   | 1433375.000000
 UNITED KINGDOM | 1997   | -1132255.000000
 UNITED KINGDOM | 1996   | -4987452.000000
 UNITED KINGDOM | 1995   | 39602988.000000
 UNITED KINGDOM | 1994   | 2076673.000000
 UNITED KINGDOM | 1993   | 1212551.000000
 UNITED KINGDOM | 1992   | -817304.000000
 UNITED STATES  | 1998   | -1074739.000000
 UNITED STATES  | 1997   | 36741600.000000
 UNITED STATES  | 1996   | -347402.000000
 UNITED STATES  | 1995   | -2273511.000000
 UNITED STATES  | 1994   | -652343.000000
 UNITED STATES  | 1993   | -1242260.000000
 UNITED STATES  | 1992   | -5173570.000000
 VIETNAM        | 1998   | -383757.000000
 VIETNAM        | 1997   | 35808128.000000
 VIETNAM        | 1996   | -2598255.000000
 VIETNAM        | 1995   | 2092815.000000
 VIETNAM        | 1994   | 1649953.000000
 VIETNAM        | 1993   | 367840.000000
 VIETNAM        | 1992   | -1961312.000000
(175 rows)

Time: 670.956 ms
