 enable_debug_mode 
-------------------
                 0
(1 row)

Timing is on.
 ps_partkey |      value       
------------+------------------
         19 | 992321664.000000
        180 | 842936128.000000
        190 | 839392320.000000
        102 | 335736000.000000
        151 | 102830784.000000
        209 | 18635920.000000
      10315 | 151091.000000
      12680 | 147984.000000
        746 | 125366.000000
       9575 | 119613.000000
       2836 | 119500.000000
       1348 | 118140.000000
       6203 | 117803.000000
      10419 | 115811.000000
      15042 | 113714.000000
       6906 | 113127.000000
       3023 | 112477.000000
      17417 | 111551.000000
       1670 | 111229.000000
      15815 | 111119.000000
      16038 | 110921.000000
       5919 | 108391.000000
       8834 | 107997.000000
       4240 | 107290.000000
      18804 | 106719.000000
      13549 | 106218.000000
       6883 | 105841.000000
      18546 | 104358.000000
       2350 | 104314.000000
       1794 | 104309.000000
        970 | 104275.000000
       9095 | 103434.000000
      14938 | 102866.000000
      15381 | 102771.000000
      18519 | 102595.000000
      10954 | 101921.000000
      14136 | 101858.000000
      11053 | 101700.000000
       9647 | 101373.000000
      19053 | 101373.000000
      18795 | 101179.000000
      16876 | 100831.000000
       8825 | 100678.000000
       3844 | 100141.000000
      10287 | 99709.000000
      17423 | 99658.000000
      12325 | 99126.000000
      16787 | 98609.000000
       2071 | 98555.000000
      15949 | 98321.000000
      14816 | 98298.000000
      12910 | 97989.000000
      18172 | 97589.000000
      14042 | 97492.000000
       3708 | 96349.000000
      15971 | 95461.000000
       3083 | 95440.000000
      16439 | 95326.000000
       8142 | 95031.000000
       4293 | 94674.000000
       3549 | 94417.000000
       4216 | 93790.000000
       3352 | 93547.000000
      15936 | 93122.000000
      15229 | 93098.000000
      17150 | 92404.000000
      16680 | 92221.000000
       4717 | 92216.000000
      14552 | 92191.000000
      14836 | 91777.000000
       5917 | 91442.000000
       3214 | 91288.000000
      16172 | 91239.000000
       7919 | 90994.000000
      18615 | 90975.000000
      15835 | 90898.000000
      15651 | 90857.000000
       1162 | 90846.000000
       1802 | 90744.000000
       4603 | 90529.000000
       5632 | 90229.000000
       5239 | 90098.000000
      13207 | 90055.000000
       5651 | 89963.000000
      18746 | 89911.000000
      18638 | 89887.000000
       4414 | 89679.000000
       4022 | 89497.000000
      17895 | 89473.000000
      11123 | 89088.000000
       6494 | 88889.000000
       3905 | 88805.000000
       8745 | 88714.000000
      15095 | 88609.000000
       2547 | 88102.000000
