 enable_debug_mode 
-------------------
                 0
(1 row)

Timing is on.
 l_orderkey |    revenue    |     o_orderdate     | o_shippriority 
------------+---------------+---------------------+----------------
     298661 | 161807.000000 | 1995-03-03 00:00:00 | 0
     526694 | 134576.000000 | 1995-01-01 00:00:00 | 0
     257600 | 121764.000000 | 1995-03-06 00:00:00 | 0
     394820 | 118639.000000 | 1995-03-03 00:00:00 | 0
     160068 | 112279.000000 | 1995-03-05 00:00:00 | 0
     102240 | 109940.000000 | 1995-01-17 00:00:00 | 0
     108421 | 97964.000000  | 1995-03-02 00:00:00 | 0
     501061 | 97679.000000  | 1995-02-05 00:00:00 | 0
      46052 | 96604.000000  | 1994-12-24 00:00:00 | 0
     476736 | 95888.000000  | 1994-12-20 00:00:00 | 0
     291332 | 93648.000000  | 1995-02-09 00:00:00 | 0
     273478 | 91212.000000  | 1995-02-09 00:00:00 | 0
     114790 | 88713.000000  | 1995-03-13 00:00:00 | 0
     339620 | 87636.000000  | 1995-01-24 00:00:00 | 0
      81569 | 86442.000000  | 1995-03-11 00:00:00 | 0
     191712 | 85094.000000  | 1995-02-14 00:00:00 | 0
     108545 | 82787.000000  | 1995-03-01 00:00:00 | 0
     369699 | 82189.000000  | 1995-03-10 00:00:00 | 0
     172288 | 82006.000000  | 1995-01-10 00:00:00 | 0
     500263 | 80792.000000  | 1995-02-22 00:00:00 | 0
     556321 | 77962.000000  | 1995-02-07 00:00:00 | 0
     555428 | 77601.000000  | 1995-02-25 00:00:00 | 0
     258246 | 76981.000000  | 1995-03-08 00:00:00 | 0
      92326 | 76784.000000  | 1995-02-12 00:00:00 | 0
     459076 | 76643.000000  | 1995-02-16 00:00:00 | 0
     101668 | 76517.000000  | 1995-01-27 00:00:00 | 0
     410145 | 75535.000000  | 1995-02-09 00:00:00 | 0
     236516 | 74913.000000  | 1995-02-11 00:00:00 | 0
     325383 | 74437.000000  | 1995-02-26 00:00:00 | 0
      32901 | 73915.000000  | 1995-02-11 00:00:00 | 0
      84512 | 73477.000000  | 1995-02-16 00:00:00 | 0
     318789 | 73332.000000  | 1995-02-16 00:00:00 | 0
      82534 | 73132.000000  | 1994-12-08 00:00:00 | 0
     171204 | 72797.000000  | 1994-12-14 00:00:00 | 0
     393634 | 72694.000000  | 1995-02-26 00:00:00 | 0
      80549 | 72646.000000  | 1995-02-23 00:00:00 | 0
     156679 | 69961.000000  | 1995-03-12 00:00:00 | 0
     588706 | 68153.000000  | 1995-02-04 00:00:00 | 0
     296071 | 67790.000000  | 1995-01-11 00:00:00 | 0
     532934 | 67607.000000  | 1995-01-16 00:00:00 | 0
      58592 | 65618.000000  | 1995-03-05 00:00:00 | 0
      71297 | 65308.000000  | 1995-03-08 00:00:00 | 0
      12224 | 65205.000000  | 1995-01-13 00:00:00 | 0
     204423 | 65120.000000  | 1995-03-04 00:00:00 | 0
     515782 | 65003.000000  | 1995-02-05 00:00:00 | 0
     593158 | 64969.000000  | 1994-12-19 00:00:00 | 0
     374690 | 64687.000000  | 1995-01-27 00:00:00 | 0
     592262 | 64643.000000  | 1995-02-17 00:00:00 | 0
     306310 | 63781.000000  | 1995-03-01 00:00:00 | 0
     499456 | 62661.000000  | 1995-01-28 00:00:00 | 0
     542210 | 62590.000000  | 1995-01-17 00:00:00 | 0
     467652 | 62028.000000  | 1995-01-05 00:00:00 | 0
     118401 | 62005.000000  | 1995-02-20 00:00:00 | 0
     504005 | 61841.000000  | 1995-01-15 00:00:00 | 0
     479936 | 61763.000000  | 1995-01-19 00:00:00 | 0
     135046 | 61524.000000  | 1995-03-09 00:00:00 | 0
     564290 | 61300.000000  | 1995-01-06 00:00:00 | 0
     146658 | 61181.000000  | 1995-02-20 00:00:00 | 0
      18370 | 59850.000000  | 1995-02-14 00:00:00 | 0
      36033 | 59318.000000  | 1995-01-20 00:00:00 | 0
     402497 | 59222.000000  | 1995-03-12 00:00:00 | 0
     212803 | 59080.000000  | 1995-01-27 00:00:00 | 0
     108932 | 58999.000000  | 1995-03-10 00:00:00 | 0
     551330 | 58765.000000  | 1994-12-27 00:00:00 | 0
     429222 | 58297.000000  | 1994-11-26 00:00:00 | 0
     191589 | 58028.000000  | 1994-12-03 00:00:00 | 0
     553540 | 57452.000000  | 1995-02-28 00:00:00 | 0
     529574 | 56565.000000  | 1995-01-26 00:00:00 | 0
     510565 | 55193.000000  | 1994-12-01 00:00:00 | 0
      22756 | 54890.000000  | 1995-01-25 00:00:00 | 0
      89122 | 54824.000000  | 1995-03-08 00:00:00 | 0
     469731 | 54741.000000  | 1995-01-30 00:00:00 | 0
     388992 | 54549.000000  | 1995-01-07 00:00:00 | 0
      68384 | 54389.000000  | 1995-01-08 00:00:00 | 0
     321511 | 54029.000000  | 1995-02-04 00:00:00 | 0
      37927 | 53860.000000  | 1995-02-26 00:00:00 | 0
     469733 | 53481.000000  | 1995-01-19 00:00:00 | 0
     549380 | 53449.000000  | 1994-12-20 00:00:00 | 0
      48295 | 52666.000000  | 1994-12-24 00:00:00 | 0
     286368 | 52476.000000  | 1995-01-25 00:00:00 | 0
      27910 | 52457.000000  | 1994-12-09 00:00:00 | 0
     537765 | 51913.000000  | 1995-01-08 00:00:00 | 0
     199808 | 51894.000000  | 1995-01-10 00:00:00 | 0
     117381 | 51834.000000  | 1995-02-21 00:00:00 | 0
     372706 | 51813.000000  | 1995-01-02 00:00:00 | 0
      59652 | 49918.000000  | 1995-02-28 00:00:00 | 0
     307685 | 49885.000000  | 1995-02-25 00:00:00 | 0
     196069 | 49321.000000  | 1995-02-08 00:00:00 | 0
     570081 | 49191.000000  | 1995-01-30 00:00:00 | 0
      22947 | 48953.000000  | 1995-01-19 00:00:00 | 0
     232487 | 48903.000000  | 1995-03-11 00:00:00 | 0
      73347 | 48602.000000  | 1995-02-08 00:00:00 | 0
     492965 | 48528.000000  | 1995-02-27 00:00:00 | 0
