 enable_debug_mode 
-------------------
                 0
(1 row)

Timing is on.
 c_count | custdist 
---------+----------
       0 |      500
      10 |       68
      11 |       67
      12 |       61
       9 |       61
       8 |       61
      14 |       60
      20 |       55
      21 |       50
      13 |       48
       7 |       47
      15 |       46
      18 |       43
      19 |       42
      17 |       41
      16 |       35
       6 |       34
      24 |       29
      23 |       29
      22 |       28
      25 |       20
      26 |       16
      27 |       14
       5 |       13
      28 |        7
      32 |        5
      30 |        5
       4 |        5
      29 |        4
       3 |        3
       2 |        3
(31 rows)

Time: 19.152 ms
