 enable_debug_mode 
-------------------
                 0
(1 row)

Timing is on.
 l_orderkey |   revenue    |     o_orderdate     | o_shippriority 
------------+--------------+---------------------+----------------
      37927 | 89175.000000 | 1995-02-26 00:00:00 | 0
      22756 | 84176.000000 | 1995-01-25 00:00:00 | 0
      49761 | 78877.000000 | 1995-02-25 00:00:00 | 0
       7845 | 71640.000000 | 1995-01-14 00:00:00 | 0
      21379 | 69521.000000 | 1995-02-15 00:00:00 | 0
      43814 | 68929.000000 | 1995-02-10 00:00:00 | 0
      35457 | 68292.000000 | 1995-01-08 00:00:00 | 0
      58592 | 67749.000000 | 1995-03-05 00:00:00 | 0
      59652 | 65251.000000 | 1995-02-28 00:00:00 | 0
      24960 | 62545.000000 | 1995-02-28 00:00:00 | 0
      18820 | 61040.000000 | 1995-03-12 00:00:00 | 0
      34368 | 59747.000000 | 1995-02-08 00:00:00 | 0
      21890 | 55696.000000 | 1995-02-25 00:00:00 | 0
       8195 | 54738.000000 | 1995-02-07 00:00:00 | 0
      33091 | 52132.000000 | 1995-02-26 00:00:00 | 0
      34881 | 50742.000000 | 1995-03-08 00:00:00 | 0
      48295 | 50368.000000 | 1994-12-24 00:00:00 | 0
      52486 | 49642.000000 | 1995-02-05 00:00:00 | 0
      27430 | 39463.000000 | 1995-03-01 00:00:00 | 0
      24160 | 38857.000000 | 1995-03-02 00:00:00 | 0
      40485 | 38633.000000 | 1995-01-28 00:00:00 | 0
      14470 | 37439.000000 | 1995-02-25 00:00:00 | 0
      54882 | 37269.000000 | 1995-03-07 00:00:00 | 0
      34978 | 36653.000000 | 1995-03-05 00:00:00 | 0
      31847 | 33936.000000 | 1995-01-19 00:00:00 | 0
       7744 | 28920.000000 | 1994-12-18 00:00:00 | 0
      24003 | 26230.000000 | 1994-12-01 00:00:00 | 0
      31046 | 25949.000000 | 1995-03-08 00:00:00 | 0
      46755 | 25710.000000 | 1995-03-07 00:00:00 | 0
      59365 | 25472.000000 | 1995-01-08 00:00:00 | 0
      45350 | 17444.000000 | 1995-02-04 00:00:00 | 0
      45059 | 15866.000000 | 1995-03-04 00:00:00 | 0
      18244 | 9354.000000  | 1995-03-12 00:00:00 | 0
      11617 | 2444.000000  | 1995-01-11 00:00:00 | 0
      55072 | 1814.000000  | 1995-02-05 00:00:00 | 0
      15904 | 0.000000     | 1994-11-28 00:00:00 | 0
      18178 | 0.000000     | 1994-12-03 00:00:00 | 0
      28259 | 0.000000     | 1994-12-05 00:00:00 | 0
      26374 | 0.000000     | 1994-12-06 00:00:00 | 0
      46151 | 0.000000     | 1994-12-09 00:00:00 | 0
       3365 | 0.000000     | 1994-12-09 00:00:00 | 0
      58307 | 0.000000     | 1994-12-12 00:00:00 | 0
      57409 | 0.000000     | 1994-12-21 00:00:00 | 0
      23971 | 0.000000     | 1994-12-22 00:00:00 | 0
       6211 | 0.000000     | 1994-12-24 00:00:00 | 0
      37924 | 0.000000     | 1994-12-30 00:00:00 | 0
      57061 | 0.000000     | 1995-01-01 00:00:00 | 0
      52070 | 0.000000     | 1995-01-02 00:00:00 | 0
      38594 | 0.000000     | 1995-01-02 00:00:00 | 0
      21635 | 0.000000     | 1995-01-03 00:00:00 | 0
      15040 | 0.000000     | 1995-01-05 00:00:00 | 0
      29889 | 0.000000     | 1995-01-05 00:00:00 | 0
       1444 | 0.000000     | 1995-01-06 00:00:00 | 0
      35844 | 0.000000     | 1995-01-07 00:00:00 | 0
      37507 | 0.000000     | 1995-01-09 00:00:00 | 0
       8290 | 0.000000     | 1995-01-10 00:00:00 | 0
      12832 | 0.000000     | 1995-01-11 00:00:00 | 0
       5191 | 0.000000     | 1995-01-11 00:00:00 | 0
      39076 | 0.000000     | 1995-01-12 00:00:00 | 0
      51555 | 0.000000     | 1995-01-13 00:00:00 | 0
      20546 | 0.000000     | 1995-01-13 00:00:00 | 0
       3110 | 0.000000     | 1995-01-17 00:00:00 | 0
      23936 | 0.000000     | 1995-01-18 00:00:00 | 0
      47203 | 0.000000     | 1995-01-19 00:00:00 | 0
       3330 | 0.000000     | 1995-01-19 00:00:00 | 0
        359 | 0.000000     | 1995-01-19 00:00:00 | 0
      40356 | 0.000000     | 1995-01-20 00:00:00 | 0
      33088 | 0.000000     | 1995-01-24 00:00:00 | 0
      18689 | 0.000000     | 1995-01-25 00:00:00 | 0
      15301 | 0.000000     | 1995-01-27 00:00:00 | 0
      20262 | 0.000000     | 1995-01-27 00:00:00 | 0
      53382 | 0.000000     | 1995-01-28 00:00:00 | 0
      44962 | 0.000000     | 1995-01-29 00:00:00 | 0
      11206 | 0.000000     | 1995-01-29 00:00:00 | 0
      43392 | 0.000000     | 1995-02-01 00:00:00 | 0
      10144 | 0.000000     | 1995-02-03 00:00:00 | 0
      46116 | 0.000000     | 1995-02-08 00:00:00 | 0
      58340 | 0.000000     | 1995-02-09 00:00:00 | 0
      19654 | 0.000000     | 1995-02-10 00:00:00 | 0
      25441 | 0.000000     | 1995-02-10 00:00:00 | 0
      26597 | 0.000000     | 1995-02-14 00:00:00 | 0
       2114 | 0.000000     | 1995-02-16 00:00:00 | 0
      24709 | 0.000000     | 1995-02-16 00:00:00 | 0
      48899 | 0.000000     | 1995-02-19 00:00:00 | 0
      36197 | 0.000000     | 1995-02-25 00:00:00 | 0
      15876 | 0.000000     | 1995-02-25 00:00:00 | 0
      25095 | 0.000000     | 1995-02-26 00:00:00 | 0
       8802 | 0.000000     | 1995-03-01 00:00:00 | 0
      55075 | 0.000000     | 1995-03-02 00:00:00 | 0
       8480 | 0.000000     | 1995-03-02 00:00:00 | 0
       6017 | 0.000000     | 1995-03-03 00:00:00 | 0
      24934 | 0.000000     | 1995-03-03 00:00:00 | 0
       8775 | 0.000000     | 1995-03-04 00:00:00 | 0
      32578 | 0.000000     | 1995-03-06 00:00:00 | 0
      45442 | 0.000000     | 1995-03-07 00:00:00 | 0
      21824 | 0.000000     | 1995-03-08 00:00:00 | 0
      57697 | 0.000000     | 1995-03-08 00:00:00 | 0
       1056 | 0.000000     | 1995-03-11 00:00:00 | 0
      27975 | 0.000000     | 1995-03-13 00:00:00 | 0
      10245 | 0.000000     | 1995-03-14 00:00:00 | 0
(100 rows)

Time: 21.120 ms
