 enable_debug_mode 
-------------------
                 0
(1 row)

Timing is on.
 p_brand  |          p_type           | p_size | supplier_cnt 
----------+---------------------------+--------+--------------
 Brand#35 | SMALL POLISHED COPPER     | 14     |            8
 Brand#51 | STANDARD ANODIZED BRASS   | 22     |            8
 Brand#11 | ECONOMY BRUSHED STEEL     | 24     |            4
 Brand#11 | ECONOMY PLATED COPPER     | 20     |            4
 Brand#11 | LARGE BURNISHED NICKEL    | 20     |            4
 Brand#11 | LARGE PLATED STEEL        | 18     |            4
 Brand#11 | MEDIUM PLATED BRASS       | 12     |            4
 Brand#11 | SMALL ANODIZED BRASS      | 12     |            4
 Brand#11 | STANDARD ANODIZED COPPER  | 16     |            4
 Brand#11 | STANDARD ANODIZED TIN     | 24     |            4
 Brand#11 | STANDARD BURNISHED STEEL  | 20     |            4
 Brand#11 | STANDARD PLATED TIN       | 20     |            4
 Brand#11 | STANDARD POLISHED STEEL   | 20     |            4
 Brand#13 | ECONOMY BURNISHED NICKEL  | 20     |            4
 Brand#13 | ECONOMY PLATED STEEL      | 22     |            4
 Brand#13 | MEDIUM BRUSHED STEEL      | 12     |            4
 Brand#13 | MEDIUM BURNISHED STEEL    | 16     |            4
 Brand#13 | MEDIUM BURNISHED STEEL    | 18     |            4
 Brand#13 | MEDIUM PLATED BRASS       | 16     |            4
 Brand#13 | MEDIUM POLISHED BRASS     | 24     |            4
 Brand#13 | MEDIUM POLISHED STEEL     | 14     |            4
 Brand#13 | SMALL BRUSHED COPPER      | 20     |            4
 Brand#13 | STANDARD ANODIZED STEEL   | 20     |            4
 Brand#13 | STANDARD POLISHED COPPER  | 22     |            4
 Brand#13 | STANDARD POLISHED TIN     | 10     |            4
 Brand#14 | ECONOMY BRUSHED NICKEL    | 24     |            4
 Brand#14 | ECONOMY POLISHED STEEL    | 24     |            4
 Brand#14 | LARGE ANODIZED NICKEL     | 20     |            4
 Brand#14 | LARGE ANODIZED TIN        | 20     |            4
 Brand#14 | LARGE BRUSHED NICKEL      | 18     |            4
 Brand#14 | LARGE POLISHED COPPER     | 18     |            4
 Brand#14 | MEDIUM BRUSHED BRASS      | 20     |            4
 Brand#14 | MEDIUM BRUSHED COPPER     | 10     |            4
 Brand#14 | SMALL BRUSHED NICKEL      | 10     |            4
 Brand#14 | SMALL BURNISHED COPPER    | 14     |            4
 Brand#14 | STANDARD BRUSHED BRASS    | 16     |            4
 Brand#15 | ECONOMY BURNISHED BRASS   | 14     |            4
 Brand#15 | ECONOMY POLISHED BRASS    | 12     |            4
 Brand#15 | ECONOMY POLISHED COPPER   | 22     |            4
 Brand#15 | ECONOMY POLISHED STEEL    | 24     |            4
 Brand#15 | ECONOMY POLISHED TIN      | 12     |            4
 Brand#15 | LARGE BURNISHED BRASS     | 22     |            4
 Brand#15 | LARGE PLATED COPPER       | 22     |            4
 Brand#15 | LARGE POLISHED COPPER     | 24     |            4
 Brand#15 | LARGE POLISHED TIN        | 20     |            4
 Brand#15 | SMALL BRUSHED STEEL       | 20     |            4
 Brand#15 | SMALL BURNISHED STEEL     | 22     |            4
 Brand#15 | SMALL POLISHED BRASS      | 16     |            4
 Brand#15 | STANDARD PLATED STEEL     | 24     |            4
 Brand#21 | ECONOMY PLATED COPPER     | 24     |            4
 Brand#21 | ECONOMY POLISHED STEEL    | 10     |            4
 Brand#21 | LARGE ANODIZED NICKEL     | 24     |            4
 Brand#21 | LARGE BRUSHED BRASS       | 12     |            4
 Brand#21 | LARGE BRUSHED BRASS       | 16     |            4
 Brand#21 | LARGE PLATED COPPER       | 16     |            4
 Brand#21 | LARGE POLISHED TIN        | 20     |            4
 Brand#21 | MEDIUM BURNISHED STEEL    | 24     |            4
 Brand#21 | SMALL BRUSHED BRASS       | 24     |            4
 Brand#21 | STANDARD BRUSHED STEEL    | 20     |            4
 Brand#21 | STANDARD BURNISHED TIN    | 16     |            4
 Brand#22 | ECONOMY PLATED NICKEL     | 16     |            4
 Brand#22 | ECONOMY POLISHED NICKEL   | 16     |            4
 Brand#22 | LARGE BRUSHED BRASS       | 18     |            4
 Brand#22 | MEDIUM ANODIZED BRASS     | 16     |            4
 Brand#22 | MEDIUM BRUSHED BRASS      | 14     |            4
 Brand#22 | MEDIUM BRUSHED TIN        | 18     |            4
 Brand#22 | MEDIUM POLISHED COPPER    | 20     |            4
 Brand#22 | SMALL ANODIZED NICKEL     | 10     |            4
 Brand#22 | SMALL ANODIZED STEEL      | 22     |            4
 Brand#22 | STANDARD BRUSHED COPPER   | 22     |            4
 Brand#22 | STANDARD BRUSHED TIN      | 10     |            4
 Brand#22 | STANDARD PLATED COPPER    | 20     |            4
 Brand#22 | STANDARD PLATED TIN       | 12     |            4
 Brand#23 | LARGE ANODIZED BRASS      | 20     |            4
 Brand#23 | LARGE ANODIZED COPPER     | 14     |            4
 Brand#23 | MEDIUM BRUSHED TIN        | 22     |            4
 Brand#23 | SMALL PLATED NICKEL       | 12     |            4
 Brand#23 | STANDARD PLATED NICKEL    | 20     |            4
 Brand#24 | ECONOMY BRUSHED NICKEL    | 10     |            4
 Brand#24 | ECONOMY BURNISHED NICKEL  | 12     |            4
 Brand#24 | MEDIUM BRUSHED TIN        | 16     |            4
 Brand#24 | MEDIUM BURNISHED NICKEL   | 20     |            4
